,Date,RTX
1,2015-03-04,-0.0017320296063780276
2,2015-03-05,-0.004122295018602213
3,2015-03-06,0.0002511924087004986
4,2015-03-09,0.020621993934066697
5,2015-03-10,-0.02613030358559319
6,2015-03-11,0.004754642226339922
7,2015-03-12,0.007395154779036081
8,2015-03-13,-0.016727396310314675
9,2015-03-16,0.006876379590203197
10,2015-03-17,0.002844751414760994
11,2015-03-18,0.008635178728799368
12,2015-03-19,-0.0054981202105544025
13,2015-03-20,-0.0029212481442213315
14,2015-03-23,-0.00652938527980802
15,2015-03-24,-0.0010080219006492577
16,2015-03-25,-0.022986618326939677
17,2015-03-26,0.0006898912892969308
18,2015-03-27,0.0065438093607228355
19,2015-03-30,0.00977225530973498
20,2015-03-31,-0.003994227691180149
21,2015-04-01,-0.012354058435477325
22,2015-04-02,0.004631609866448104
23,2015-04-06,0.01664797276322581
24,2015-04-07,-0.0022928502895816086
25,2015-04-08,0.0011044839703019435
26,2015-04-09,0.0015293417102034102
27,2015-04-10,0.0027086706405205834
28,2015-04-13,-0.004746997780666527
29,2015-04-14,0.0054677753927015755
30,2015-04-15,-0.001778528019244596
31,2015-04-16,0.0011077638675320825
32,2015-04-17,-0.010317202175128163
33,2015-04-20,0.004223436632898873
34,2015-04-21,-0.014991993838111459
35,2015-04-22,-0.00025647564675229027
36,2015-04-23,0.007215236547327642
37,2015-04-24,-0.010899235576540687
38,2015-04-27,-0.007886158189212351
39,2015-04-28,0.007638827699822705
40,2015-04-29,-0.0017304674398535896
41,2015-04-30,-0.010267141422774675
42,2015-05-01,0.007417741276585777
43,2015-05-04,0.005786908149292055
44,2015-05-05,-0.008102763390386647
45,2015-05-06,-0.01269733179546413
46,2015-05-07,0.007904077456964188
47,2015-05-08,0.006116766086377985
48,2015-05-11,0.002213829850005986
49,2015-05-12,0.002648437372942663
50,2015-05-13,0.0034196986143695085
51,2015-05-14,0.011203528847720353
52,2015-05-15,-0.004954709498035095
53,2015-05-18,-0.00016876673038135372
54,2015-05-19,0.003962907006067027
55,2015-05-20,-0.0066020653919591
56,2015-05-21,0.0026092046662273493
57,2015-05-22,-0.003193275672664354
58,2015-05-26,-0.01417130590756522
59,2015-05-27,0.0020443013760875583
60,2015-05-28,0.003581530429641778
61,2015-05-29,-0.0028934106613314626
62,2015-06-01,-0.0019619533803984413
63,2015-06-02,0.005225717771164816
64,2015-06-03,0.004066779251463915
65,2015-06-04,-0.005855889016895049
66,2015-06-05,0.003516624982050678
67,2015-06-08,-0.0030890330484609806
68,2015-06-09,-0.0018023850547533287
69,2015-06-10,0.0
70,2015-06-11,0.0027968634791947777
71,2015-06-12,0.0011918717012288531
72,2015-06-15,-0.005207964176347463
73,2015-06-16,0.003755082586506112
74,2015-06-17,-0.0018217261421712915
75,2015-06-18,0.014087057991134869
76,2015-06-19,-0.006141883399294172
77,2015-06-22,-0.0010398036249303886
78,2015-06-23,0.0005209331747193774
79,2015-06-24,-0.006364367653766873
80,2015-06-25,-0.00822830503103217
81,2015-06-26,0.00044059846162899994
82,2015-06-29,-0.010732614596201954
83,2015-06-30,-0.011671406013000195
84,2015-07-01,-0.010800745903775664
85,2015-07-02,-0.01589866310910323
86,2015-07-06,0.00922848858236924
87,2015-07-07,0.005021001954844234
88,2015-07-08,-0.000827518931687108
89,2015-07-09,-0.00981817087640668
90,2015-07-10,-0.0018118745804815884
91,2015-07-13,0.003507403969292887
92,2015-07-14,8.969656140660102e-05
93,2015-07-15,-0.00224205775711796
94,2015-07-16,-0.00943727641778272
95,2015-07-17,-0.0046738106347684535
96,2015-07-20,-0.0044155214706742985
97,2015-07-21,-0.01571635916941682
98,2015-07-22,-0.0069431031419466575
99,2015-07-23,-0.010178168291423607
100,2015-07-24,-0.01673265762655728
101,2015-07-27,0.0009111253374351958
102,2015-07-28,-0.0006059155534520906
103,2015-07-29,0.0027247926690924466
104,2015-07-30,0.013584223075260268
105,2015-07-31,-0.006044372148337763
106,2015-08-03,-0.008872484200847785
107,2015-08-04,-0.009996991018901587
108,2015-08-05,-0.011003265103448004
109,2015-08-06,-0.0001010320826945834
110,2015-08-07,-0.00435576247894945
111,2015-08-10,0.007081442561265598
112,2015-08-11,-0.0007093657861188988
113,2015-08-12,0.014807208553509197
114,2015-08-13,-0.001623653582899902
115,2015-08-14,0.006013597894130502
116,2015-08-17,0.01253438117193842
117,2015-08-18,0.004547324455314725
118,2015-08-19,-0.00496450621477719
119,2015-08-20,-0.01723072528285176
120,2015-08-21,-0.020534979945150352
121,2015-08-24,0.024811087395878787
122,2015-08-25,-0.04884316425251058
123,2015-08-26,0.00959308161066531
124,2015-08-27,0.008106304304142704
125,2015-08-28,0.004200316615741128
126,2015-08-31,0.004385437764084569
127,2015-09-01,0.002570117399738305
128,2015-09-02,0.0032988610274176052
129,2015-09-03,-0.000978202235764573
130,2015-09-04,-0.001541550415712769
131,2015-09-08,0.007270774416537375
132,2015-09-09,-0.01922053656447522
133,2015-09-10,-0.006953480591946383
134,2015-09-11,0.012390366840859635
135,2015-09-14,-0.005092030734325363
136,2015-09-15,0.000647849477538504
137,2015-09-16,0.013157851892796758
138,2015-09-17,-0.006177434388590824
139,2015-09-18,-0.01450063471443008
140,2015-09-21,0.002408901824362642
141,2015-09-22,-0.008766019157789908
142,2015-09-23,-0.013499757900579067
143,2015-09-24,0.01247810608256202
144,2015-09-25,-0.003765873770841437
145,2015-09-28,0.002655887007636363
146,2015-09-29,0.016170011180077663
147,2015-09-30,0.003948568171899928
148,2015-10-01,-0.006074234076968627
