,Date,TSLA
1,2015-03-04,0.016010063538773645
2,2015-03-05,-0.010944071974365296
3,2015-03-06,-0.026755635428834794
4,2015-03-09,-0.018056459594447242
5,2015-03-10,0.00986941499868911
6,2015-03-11,0.013549594559246803
7,2015-03-12,-0.013832232258064433
8,2015-03-13,-0.001428975881741827
9,2015-03-16,0.019270754204648282
10,2015-03-17,-0.003581845253590693
11,2015-03-18,0.029493151685136627
12,2015-03-19,-0.03143566676061057
13,2015-03-20,0.0031906557006505143
14,2015-03-23,0.005692644692880411
15,2015-03-24,0.000694513310124496
16,2015-03-25,-0.020023150754606162
17,2015-03-26,-0.01810022174092411
18,2015-03-27,-0.021526392910731353
19,2015-03-30,0.025396826763348295
20,2015-03-31,-0.024595643450740383
21,2015-04-01,-0.0058823526294459185
22,2015-04-02,0.004047731586823106
23,2015-04-06,0.02575760231099003
24,2015-04-07,0.0036542146969092263
25,2015-04-08,-0.0025456052484536364
26,2015-04-09,0.007964328360496977
27,2015-04-10,0.00500355003565514
28,2015-04-13,-0.0031362858026922663
29,2015-04-14,-0.00532195413237875
30,2015-04-15,0.0017835003908342607
31,2015-04-16,-0.004814660452222744
32,2015-04-17,0.00878094031950477
33,2015-04-20,-0.007302398861166371
34,2015-04-21,0.017541302235179818
35,2015-04-22,0.03265882352941172
36,2015-04-23,0.0015119347943358995
37,2015-04-24,-0.009387687500575441
38,2015-04-27,0.04039360081790082
39,2015-04-28,-0.018189562977858065
40,2015-04-29,0.010432602061838686
41,2015-04-30,-0.01883762356954769
42,2015-05-01,-0.017004392819961606
43,2015-05-04,0.01021121438289015
44,2015-05-05,-0.020230443313864418
45,2015-05-06,-0.01567708244340024
46,2015-05-07,0.07149321105218971
47,2015-05-08,0.002627166294030745
48,2015-05-11,0.0135426808909112
49,2015-05-12,0.019282891576421077
50,2015-05-13,-0.017890978108537244
51,2015-05-14,-0.002940956561127489
52,2015-05-15,0.020128787359668623
53,2015-05-18,0.007084979470243733
54,2015-05-19,-0.005192609483705392
55,2015-05-20,-0.011249140356272766
56,2015-05-21,0.010657161886540029
57,2015-05-22,0.00957700301573063
58,2015-05-26,-0.0008882025373101868
59,2015-05-27,-0.004345901573377351
60,2015-05-28,0.017892625101915763
61,2015-05-29,-0.000796832653449623
62,2015-06-01,-0.007796070009226521
63,2015-06-02,-0.0022899325084364307
64,2015-06-03,0.0031829372115821097
65,2015-06-04,-0.006383878787878736
66,2015-06-05,0.01276418673243519
67,2015-06-08,0.02168628748998552
68,2015-06-09,0.002349236399794972
69,2015-06-10,-0.004763834760543116
70,2015-06-11,-0.007304726368159203
71,2015-06-12,0.001918388553614894
72,2015-06-15,0.0027232880000658444
73,2015-06-16,0.01195378379335176
74,2015-06-17,0.032676429895563616
75,2015-06-18,-0.0004199236480945664
76,2015-06-19,0.00041918826219514084
77,2015-06-22,-0.00900247949647151
78,2015-06-23,0.0282345003886466
79,2015-06-24,-0.006779534047494229
80,2015-06-25,0.0087820977897899
81,2015-06-26,-0.006694205809066847
82,2015-06-29,0.00026722657505673543
83,2015-06-30,0.013066484385696412
84,2015-07-01,-0.0072295009405776425
85,2015-07-02,-0.0006423804310780934
86,2015-07-06,0.003012030209910563
87,2015-07-07,-0.025890909090909082
88,2015-07-08,-0.016813146568453907
89,2015-07-09,-0.004477419929078941
90,2015-07-10,-0.011707688200747506
91,2015-07-13,-0.0003432221097574953
92,2015-07-14,0.01354450643054203
93,2015-07-15,-0.013496326010347172
94,2015-07-16,0.00931036600899375
95,2015-07-17,0.007926587155963258
96,2015-07-20,0.02639999999999997
97,2015-07-21,-0.012145862327193639
98,2015-07-22,0.02526120391697468
99,2015-07-23,-0.009085870572964944
100,2015-07-24,-0.007367809583072477
101,2015-07-27,-0.03589526730937766
102,2015-07-28,0.03546429968859048
103,2015-07-29,-0.0017028039505050953
104,2015-07-30,0.015607827310054664
105,2015-07-31,-0.005418535127055423
106,2015-08-03,-0.023658380405917917
107,2015-08-04,0.02411449606004569
108,2015-08-05,0.02485015934441156
109,2015-08-06,-0.01366512355403691
110,2015-08-07,-0.004392827818375959
111,2015-08-10,0.012555112060568694
112,2015-08-11,0.0009276618174151267
113,2015-08-12,0.013489340425531977
114,2015-08-13,0.011048090552822408
115,2015-08-14,-0.01654265019646299
116,2015-08-17,-0.0022303764282360257
117,2015-08-18,0.020910036024747482
118,2015-08-19,-0.01951375102701371
119,2015-08-20,-0.03919697768779223
120,2015-08-21,-0.02216105885251997
121,2015-08-24,0.07929382808062095
122,2015-08-25,-0.04550579125455495
123,2015-08-26,-0.013556794049857327
124,2015-08-27,0.05190473913626103
125,2015-08-28,0.02737114333204564
126,2015-08-31,0.014005353513448504
127,2015-09-01,-0.007114899577371675
128,2015-09-02,0.009743110278371213
129,2015-09-03,-0.025747858163688356
130,2015-09-04,0.0043173439263284475
131,2015-09-08,0.012732116414287545
132,2015-09-09,-0.012457825828208601
133,2015-09-10,0.005056020811714209
134,2015-09-11,0.010499111613632756
135,2015-09-14,0.008323357062457936
136,2015-09-15,0.0032443521907884417
137,2015-09-16,0.03639738632637584
138,2015-09-17,-0.0071601568419457995
139,2015-09-18,0.010311715194443202
140,2015-09-21,0.000833377512815915
141,2015-09-22,0.007373663282245397
142,2015-09-23,-0.0033975377628849513
143,2015-09-24,0.013832755898460966
144,2015-09-25,-0.036382713258743364
145,2015-09-28,-0.03466096688049425
146,2015-09-29,-0.015211950315658213
147,2015-09-30,-0.01428575340135901
148,2015-10-01,-0.030826977310552586
149,2015-10-02,0.05080647391355002
