,Date,WFC
1,2015-03-04,-0.006343991529599102
2,2015-03-05,-0.0018201492868610508
3,2015-03-06,-0.007093488541287623
4,2015-03-09,-0.002008050420008166
5,2015-03-10,-0.016063497045790253
6,2015-03-11,-0.0031557082449546665
7,2015-03-12,0.019625825385179756
8,2015-03-13,-0.0027032257090204024
9,2015-03-16,0.004144144144144088
10,2015-03-17,0.007387387387387326
11,2015-03-18,0.008800251436781608
12,2015-03-19,-0.007864217911273983
13,2015-03-20,0.008643958376444534
14,2015-03-23,-0.00446189549280556
15,2015-03-24,-0.006283716224708882
16,2015-03-25,-0.013029262143657811
17,2015-03-26,0.0027599265045051267
18,2015-03-27,-0.007700806606145766
19,2015-03-30,0.0069865969293362185
20,2015-03-31,-0.0012850926879917407
21,2015-04-01,-0.008820268607874616
22,2015-04-02,0.007784948882577401
23,2015-04-06,0.004830955035302863
24,2015-04-07,-0.004789959557663099
25,2015-04-08,0.00037050759540576376
26,2015-04-09,0.0024046984386848326
27,2015-04-10,-0.00018409717709931368
28,2015-04-13,0.004785532678611038
29,2015-04-14,0.004821045800111265
30,2015-04-15,0.008092735112980226
31,2015-04-16,0.00513482496121086
32,2015-04-17,-0.00661644918213558
33,2015-04-20,0.00036807140228180886
34,2015-04-21,-0.004949587625107071
35,2015-04-22,0.006628558154510067
36,2015-04-23,0.008270556882925939
37,2015-04-24,-0.0010956355403811875
38,2015-04-27,0.0032852709748993586
39,2015-04-28,0.009105809506465124
40,2015-04-29,0.005256498287348202
41,2015-04-30,-0.009883270085057702
42,2015-05-01,-0.0012667210013290772
43,2015-05-04,0.008322779084494187
44,2015-05-05,-0.00017941862551576224
45,2015-05-06,-0.009200829875518674
46,2015-05-07,-0.0027292213014778917
47,2015-05-08,0.01595071654706241
48,2015-05-11,-0.007331902980397042
49,2015-05-12,0.0028927860623253958
50,2015-05-13,0.0023435550325660876
51,2015-05-14,0.001608579059721488
52,2015-05-15,-0.009279104045697529
53,2015-05-18,0.0030586180979266546
54,2015-05-19,0.008944543508245313
55,2015-05-20,-0.004261328124999999
56,2015-05-21,0.0017885530316581377
57,2015-05-22,-0.0007137937060350271
58,2015-05-26,-0.005538699204239907
59,2015-05-27,0.0026824392947939774
60,2015-05-28,0.0017821778331461172
61,2015-05-29,-0.005155573333333273
62,2015-06-01,-0.00355620542118758
63,2015-06-02,0.0030352081069525594
64,2015-06-03,0.009937924043936917
65,2015-06-04,-0.006898991807871666
66,2015-06-05,-0.007538569292802076
67,2015-06-08,-0.014401124243082623
68,2015-06-09,0.008358545260537142
69,2015-06-10,0.004036486486486601
70,2015-06-11,0.0
71,2015-06-12,-0.0007001750271279818
72,2015-06-15,0.005825207208289176
73,2015-06-16,0.0065084083204366
74,2015-06-17,-0.0024429069544074883
75,2015-06-18,0.007156571702625799
76,2015-06-19,-0.006443730631965539
77,2015-06-22,0.005731121718265939
78,2015-06-23,-0.001896568965517188
79,2015-06-24,-0.002254153017310717
80,2015-06-25,-0.010043324675324681
81,2015-06-26,0.0017439658179280928
82,2015-06-29,-0.013028134032185458
83,2015-06-30,-0.0053059602881860525
84,2015-07-01,-0.003152916447714255
85,2015-07-02,-0.0017592892329346668
86,2015-07-06,0.00606062410198305
87,2015-07-07,-0.0012428977272727322
88,2015-07-08,-0.010565902578796622
89,2015-07-09,-0.009989314841432125
90,2015-07-10,-0.0044381322762956765
91,2015-07-13,0.003182478727325291
92,2015-07-14,0.013992224831601513
93,2015-07-15,0.006444852813098763
94,2015-07-16,-0.0012019917169645237
95,2015-07-17,-0.0005175435480845203
96,2015-07-20,0.001034609379734161
97,2015-07-21,-0.001206463288521248
98,2015-07-22,0.007749268124677163
99,2015-07-23,-0.008854095011067487
100,2015-07-24,-0.006875232038501257
101,2015-07-27,0.0019137091162144493
102,2015-07-28,-0.005716230729256821
103,2015-07-29,0.00625001757812568
104,2015-07-30,0.005185894734170972
105,2015-07-31,-0.006182397389661634
106,2015-08-03,-0.002755295333218593
107,2015-08-04,0.0008655011251514135
108,2015-08-05,-0.002767669905419983
109,2015-08-06,-0.00208157841867905
110,2015-08-07,-0.0017369984366857188
111,2015-08-10,0.002422145370625362
112,2015-08-11,-0.0003494845360823606
113,2015-08-12,-0.003163462103217451
114,2015-08-13,0.0024669427312775877
115,2015-08-14,0.007734276810235086
116,2015-08-17,0.0057874079270430765
117,2015-08-18,0.0022644312837484764
118,2015-08-19,-0.0038407472737560073
119,2015-08-20,-0.00602196255795193
120,2015-08-21,-0.024579811148389204
121,2015-08-24,0.04166664549458037
122,2015-08-25,-0.06591968377067564
123,2015-08-26,0.014352171948173545
124,2015-08-27,0.011040419368271251
125,2015-08-28,-0.003906958139534946
126,2015-08-31,-0.0013108613741250475
127,2015-09-01,-0.021492975983631243
128,2015-09-02,-0.009525623565417278
129,2015-09-03,0.0007635235877747702
130,2015-09-04,-0.009845521425589275
131,2015-09-08,0.005318100462750202
132,2015-09-09,-0.026487632410228768
133,2015-09-10,0.009410428269637016
134,2015-09-11,0.005349617883072154
135,2015-09-14,0.002660060751281443
136,2015-09-15,0.008107088836593477
137,2015-09-16,0.0037369394618834138
138,2015-09-17,-0.02774677788181041
139,2015-09-18,-0.004486034718158894
140,2015-09-21,0.0005822787267080077
141,2015-09-22,-0.00353843136501732
142,2015-09-23,-0.001965448074578526
143,2015-09-24,0.009183449790377246
144,2015-09-25,0.002336429082234636
145,2015-09-28,-0.013706696690816533
146,2015-09-29,0.008321735519680287
147,2015-09-30,-0.005423261564531069
148,2015-10-01,-0.0013589400644124041
